,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
OECD,949.2,938.0,998.1,1039.2,1044.6,1025.3,1053.6,1110.4,1131.2,1110.3,1124.3,1129.6,1093.9,1153.6,1218.3,1263.2,1272.5,1263.4,1268.0,1153.0,1163.7,1146.4,1107.3,1028.4,953.7,984.9,981.0,948.6
G7,774.9,772.6,812.0,851.2,856.3,832.0,861.3,904.6,915.7,893.2,928.7,947.0,924.7,973.3,1022.4,1046.9,1026.7,1015.9,996.8,895.1,889.5,860.7,792.3,713.1,630.2,628.9,631.4,577.1
BRICS,-162.4,-110.8,-73.7,-52.8,-58.9,-46.5,-38.4,-22.6,-33.5,-2.1,34.2,7.5,-13.0,-22.9,-10.2,-8.3,19.9,43.8,85.3,122.3,156.4,182.0,224.6,254.4,287.2,290.8,320.7,350.2
Europe,470.1,451.7,447.1,441.1,411.0,398.5,401.6,409.6,436.6,390.1,393.0,404.8,399.5,432.4,471.7,494.0,512.0,502.7,516.7,465.3,477.5,479.4,496.1,480.4,470.2,502.7,489.8,510.9
European Union,506.4,504.8,513.4,512.2,497.4,493.0,510.7,520.6,540.5,495.3,510.4,524.3,511.0,536.4,566.9,577.2,583.7,573.5,581.6,534.5,534.7,529.9,540.7,518.9,514.2,542.6,534.2,551.6
Belgium,26.7,30.2,29.8,28.3,28.7,26.4,31.8,33.1,34.6,32.2,34.0,33.2,33.9,36.2,35.1,32.3,32.4,33.1,33.5,29.9,31.1,28.8,30.2,28.0,32.5,31.8,31.0,33.1
Czech Rep.,7.4,6.3,6.6,6.1,6.7,7.0,7.4,6.9,6.9,6.0,5.6,5.9,6.0,6.3,6.4,7.8,7.8,7.3,8.2,7.2,7.7,6.9,7.1,6.6,7.4,7.1,5.3,7.7
France,75.3,77.6,76.0,77.4,76.4,78.2,83.3,87.0,89.1,80.8,83.9,86.4,80.1,85.4,85.0,84.1,82.0,81.2,83.3,71.8,64.2,64.0,56.7,56.1,54.1,57.4,55.3,57.0
Germany,88.1,88.8,98.9,99.5,105.1,100.1,101.8,97.0,108.0,102.2,100.5,104.1,103.6,105.8,109.0,111.6,109.1,106.1,105.2,97.9,92.6,90.1,93.2,90.5,89.4,90.9,91.1,90.7
Italy,83.7,84.2,86.3,85.4,85.1,81.9,81.4,87.3,91.2,87.9,89.9,90.6,89.5,90.7,92.3,93.8,91.9,94.0,87.6,80.3,84.0,77.4,73.6,65.1,58.7,67.5,65.4,68.6
Netherlands,47.8,51.6,55.2,55.3,55.2,58.9,60.5,60.1,61.6,58.6,59.7,60.4,54.4,56.5,59.8,61.0,59.7,57.7,57.6,57.5,59.5,57.0,57.5,54.6,53.9,59.1,60.6,61.6
Poland,13.1,11.5,13.2,13.9,13.4,14.1,15.0,15.1,15.7,16.6,18.1,17.5,17.6,17.5,17.5,18.1,20.4,21.7,21.5,21.2,23.1,24.1,24.6,23.1,23.4,26.4,24.5,25.0
Portugal,11.2,10.2,11.7,11.5,13.8,13.5,12.1,13.5,13.9,13.8,12.1,13.2,11.9,13.3,13.2,13.5,14.6,13.3,13.1,11.2,11.6,10.9,11.4,13.6,12.0,15.0,14.7,15.5
Romania,16.1,8.4,6.6,7.6,8.1,8.7,7.2,6.2,6.0,4.3,4.8,5.5,6.4,5.2,7.3,8.7,8.7,8.5,8.6,7.2,6.0,5.5,5.1,5.5,7.2,7.2,8.1,8.7
Spain,53.3,52.9,54.9,52.5,54.8,55.7,54.9,56.6,60.7,58.9,58.8,57.8,57.7,58.0,59.5,60.2,61.2,59.0,60.5,56.0,56.2,56.4,59.9,59.8,60.7,64.9,63.7,65.4
Sweden,17.0,16.2,17.0,17.8,18.2,17.8,19.0,20.1,19.8,19.3,20.3,19.5,18.3,20.3,20.7,20.0,19.2,17.8,21.1,19.1,19.4,18.8,20.5,16.9,18.2,19.3,18.8,19.0
United Kingdom,-4.3,2.4,1.3,-1.1,-28.9,-34.6,-30.6,-29.2,-36.7,-46.9,-38.5,-33.4,-30.2,-20.7,-2.0,4.8,9.2,6.4,11.8,9.0,12.9,24.3,29.5,25.5,22.8,16.9,13.8,14.9
Norway,-66.6,-80.7,-92.0,-99.0,-113.4,-124.3,-140.6,-141.8,-135.0,-134.2,-145.3,-150.5,-143.4,-136.5,-128.6,-115.7,-104.9,-102.5,-95.4,-92.3,-82.1,-75.9,-68.6,-63.6,-67.8,-69.4,-74.5,-72.5
Turkey,20.1,17.6,19.3,22.0,21.8,24.7,24.2,23.3,23.7,23.0,21.6,23.2,23.7,24.1,23.9,23.4,24.1,23.4,21.7,14.2,17.0,18.1,19.2,18.5,17.2,24.7,24.6,25.6
CIS,-107.1,-68.4,-81.2,-88.0,-100.0,-98.5,-112.3,-120.9,-132.6,-143.2,-156.8,-174.0,-198.6,-239.5,-274.2,-285.1,-291.1,-313.7,-310.5,-329.1,-332.5,-328.1,-321.0,-317.2,-303.7,-322.6,-341.8,-348.4
Kazakhstan,-6.2,-8.2,-7.8,-7.8,-7.8,-8.9,-11.2,-15.2,-16.2,-23.0,-28.4,-31.1,-37.0,-40.8,-46.9,-50.9,-49.3,-50.6,-57.3,-62.6,-63.3,-64.2,-63.5,-61.6,-64.4,-63.5,-63.2,-69.4
Russia,-203.3,-155.6,-131.8,-117.3,-121.9,-113.8,-119.7,-122.9,-131.7,-129.9,-138.5,-157.0,-182.2,-222.1,-253.4,-250.2,-246.1,-255.9,-240.6,-247.1,-245.9,-247.1,-239.1,-235.8,-222.0,-242.8,-257.7,-261.1
Ukraine,53.1,49.1,34.4,19.7,15.8,13.3,9.3,9.0,9.8,7.9,5.7,13.4,18.8,21.4,21.5,14.8,10.9,10.3,6.7,7.2,7.8,5.8,1.6,0.8,0.1,0.2,0.5,1.3
Uzbekistan,5.2,5.6,3.1,4.0,1.5,-0.4,-0.8,-0.9,-0.8,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
America,233.3,204.5,224.0,239.1,249.4,219.8,221.2,230.2,247.6,272.5,281.2,307.1,278.2,309.0,320.6,316.6,307.4,338.2,341.6,289.2,258.8,234.0,174.6,118.8,57.9,26.5,40.5,-14.4
North America,329.3,316.5,331.5,371.0,384.5,379.0,399.8,434.0,447.0,457.0,475.1,493.9,475.2,502.9,531.8,539.9,531.2,521.8,510.0,457.0,454.5,427.6,360.5,298.0,239.8,231.1,243.5,188.1
Canada,-10.1,-14.8,-20.3,-20.6,-22.7,-28.6,-27.8,-28.3,-34.7,-27.6,-30.0,-28.8,-35.7,-38.1,-40.7,-36.5,-49.2,-51.5,-53.8,-53.8,-58.8,-72.5,-80.0,-92.6,-103.8,-116.4,-117.7,-125.7
United States,339.4,331.3,351.8,391.7,407.2,407.6,427.6,462.3,481.7,484.7,505.1,522.7,510.9,541.1,572.5,576.4,580.4,573.3,563.8,510.8,513.3,500.1,440.4,390.6,343.6,347.5,361.3,313.8
Latin America,-96.0,-111.9,-107.4,-131.9,-135.1,-159.2,-178.6,-203.8,-199.4,-184.5,-193.9,-186.8,-197.0,-194.0,-211.2,-223.3,-223.8,-183.6,-168.4,-167.9,-195.7,-193.7,-185.9,-179.1,-182.0,-204.7,-203.1,-202.5
Argentina,-0.6,-1.1,-2.7,-4.3,-10.0,-13.6,-15.9,-16.2,-15.8,-12.9,-12.9,-13.3,-13.1,-11.3,-8.5,-7.4,-4.0,-2.9,-2.8,-4.7,-2.9,-3.1,-2.9,-0.5,-1.4,-1.0,-1.5,-1.4
Brazil,28.9,26.6,26.8,25.7,28.0,24.8,28.8,29.1,28.0,23.7,19.2,15.6,7.5,5.1,11.1,3.5,-1.7,-0.3,-2.6,-7.6,-14.8,-13.8,-9.6,-0.1,-8.6,-22.3,-35.2,-45.5
Chile,5.4,5.5,6.0,6.3,7.1,7.6,8.0,8.6,9.4,9.3,9.7,9.8,9.6,10.2,10.4,10.2,11.1,10.8,10.1,10.0,8.5,9.0,8.7,9.5,8.9,8.6,8.6,9.1
Colombia,-9.9,-8.8,-9.2,-10.2,-9.7,-16.1,-16.6,-17.9,-22.9,-26.4,-19.6,-15.0,-14.7,-11.8,-11.1,-11.4,-10.9,-11.3,-13.3,-18.1,-24.3,-30.8,-32.2,-33.5,-33.1,-37.4,-29.8,-28.5
Mexico,-69.4,-74.6,-74.7,-73.1,-70.7,-70.5,-80.0,-89.5,-90.3,-82.6,-91.3,-92.4,-96.5,-104.4,-104.9,-99.8,-98.7,-89.0,-74.3,-64.5,-71.2,-70.0,-65.7,-62.4,-59.4,-59.5,-60.7,-59.6
Venezuela,-64.3,-73.3,-66.9,-87.0,-88.2,-99.5,-113.8,-128.5,-121.9,-106.7,-113.1,-107.1,-100.3,-90.1,-113.9,-125.8,-124.8,-99.8,-96.0,-96.1,-95.7,-93.9,-91.6,-97.6,-90.9,-98.5,-91.5,-83.1
Asia,276.5,289.5,340.5,372.8,385.6,405.2,445.0,487.3,462.3,494.7,562.0,544.1,550.0,599.3,662.2,677.0,710.6,742.6,756.3,775.2,828.4,857.1,901.3,910.6,927.1,972.7,1039.0,1094.9
China,-21.1,-16.6,-10.2,-3.8,-6.1,-1.1,2.2,15.6,11.7,29.4,60.0,52.7,61.7,82.9,117.2,118.8,138.8,159.3,174.6,198.6,234.7,251.3,268.6,280.1,307.8,332.6,378.1,414.6
India,20.7,24.0,29.2,30.8,27.3,27.3,33.9,34.5,39.8,57.8,74.1,78.7,82.0,90.4,95.9,99.4,111.5,121.7,132.8,159.3,163.6,171.7,184.8,189.2,189.4,202.9,213.9,223.2
Indonesia,-31.7,-37.8,-32.0,-29.5,-35.9,-30.2,-27.6,-29.1,-26.8,-24.9,-17.0,-14.9,-10.8,-6.9,-2.1,-3.1,2.8,0.0,-1.3,4.4,3.6,1.9,4.2,7.5,10.0,9.6,10.2,10.2
Japan,202.9,203.2,218.0,219.0,234.0,227.3,225.5,228.6,217.1,212.2,217.8,205.3,206.6,209.2,206.2,212.7,203.3,206.4,198.8,179.0,181.4,177.1,178.8,177.9,165.4,165.0,162.1,157.8
Malaysia,-20.3,-21.0,-21.5,-17.8,-17.0,-17.1,-15.2,-13.8,-15.9,-14.3,-9.1,-8.4,-10.3,-10.2,-10.5,-10.3,-8.7,-7.0,-6.1,-6.1,-8.7,-2.0,-1.7,-1.5,-1.8,-7.3,-6.7,-6.1
South Korea,41.8,54.2,69.1,76.1,79.5,87.4,99.9,121.1,113.7,120.5,123.2,118.8,108.1,108.0,114.2,115.0,120.4,118.5,116.3,115.0,118.7,124.9,128.2,122.8,125.8,139.0,145.9,151.3
Taiwan,22.2,21.9,23.9,25.8,24.9,30.2,32.9,32.7,34.7,36.4,38.8,39.9,41.2,46.7,52.9,54.8,52.4,51.9,47.9,49.6,46.1,41.9,46.6,44.1,45.4,44.2,45.2,44.6
Thailand,9.7,9.5,12.3,14.9,18.4,21.2,29.2,33.5,31.1,32.5,30.6,31.1,33.7,35.7,40.7,38.0,38.0,37.2,38.2,39.5,40.8,39.7,42.6,43.4,41.0,44.4,41.8,48.4
Pacific,2.1,0.7,2.1,4.9,5.8,5.5,7.9,7.6,6.4,9.7,3.3,0.7,4.5,7.8,7.3,11.1,11.5,10.0,9.5,7.6,10.5,13.9,14.4,14.7,14.1,11.6,9.9,10.4
Australia,4.3,3.3,5.0,7.7,8.6,7.3,10.3,8.9,6.9,11.1,3.5,0.4,3.2,6.0,4.9,8.4,9.2,7.6,8.3,6.3,7.2,9.8,9.7,11.1,10.3,7.3,4.5,4.9
New Zealand,2.3,2.3,2.3,2.5,2.8,2.9,2.7,2.3,3.3,3.2,3.5,3.4,3.9,4.3,4.0,4.2,4.1,3.1,2.4,2.5,2.7,3.2,3.6,3.8,3.5,3.6,4.0,4.1
Africa,-201.5,-214.8,-216.3,-215.4,-216.4,-219.8,-232.4,-240.0,-241.4,-236.1,-255.7,-248.1,-248.4,-282.4,-322.4,-337.1,-351.7,-364.9,-360.2,-352.0,-361.9,-293.1,-331.7,-294.4,-266.1,-274.8,-249.1,-243.1
Algeria,-31.1,-30.5,-29.7,-30.7,-30.8,-30.6,-34.1,-33.0,-34.6,-34.3,-37.0,-35.7,-39.9,-48.0,-54.6,-58.5,-57.0,-55.8,-51.7,-44.9,-38.7,-38.2,-36.7,-33.4,-28.1,-28.9,-30.2,-28.3
Egypt,-19.6,-18.2,-20.1,-19.9,-17.8,-17.1,-14.4,-12.5,-11.0,-13.0,-9.9,-4.9,-4.8,-4.7,-1.0,0.4,0.6,0.9,-2.6,-2.9,-5.7,-7.4,-6.6,-9.0,-7.2,-9.2,-6.3,-3.9
Nigeria,-74.9,-77.9,-82.2,-83.5,-87.8,-87.9,-96.5,-105.8,-98.0,-98.1,-110.0,-108.7,-93.3,-111.5,-123.2,-118.7,-115.5,-112.7,-103.3,-108.0,-122.3,-116.7,-118.4,-102.8,-104.5,-104.1,-87.1,-87.8
South Africa,12.4,10.8,12.1,11.7,13.8,16.3,16.4,21.0,18.7,16.8,19.5,17.5,18.0,20.8,19.0,20.3,17.4,19.0,21.2,19.2,19.0,19.9,19.9,20.9,20.5,20.4,21.5,18.9
Middle-East,-599.8,-606.1,-656.9,-691.2,-664.0,-666.0,-663.6,-689.9,-752.3,-712.8,-778.4,-756.7,-676.3,-747.1,-811.0,-841.8,-846.7,-832.2,-854.7,-748.4,-757.1,-867.9,-856.3,-862.7,-835.4,-868.8,-936.2,-923.8
Iran,-117.0,-122.2,-133.9,-137.3,-127.0,-127.1,-126.5,-116.3,-116.6,-102.6,-115.3,-104.8,-104.4,-124.3,-125.9,-128.4,-130.7,-135.2,-128.1,-115.3,-119.6,-118.0,-63.1,-58.0,-61.5,-64.5,-91.7,-122.6
Kuwait,-31.8,-6.3,-37.6,-73.1,-63.6,-60.5,-62.2,-57.5,-60.3,-48.1,-61.8,-63.0,-49.7,-63.1,-72.2,-84.1,-87.6,-81.9,-89.3,-68.3,-70.0,-89.4,-103.0,-102.6,-101.1,-99.6,-107.9,-106.3
Saudi Arabia,-240.1,-332.1,-333.4,-326.2,-310.7,-313.6,-305.3,-308.3,-318.5,-285.1,-311.7,-300.8,-263.4,-325.8,-353.2,-373.6,-363.2,-345.3,-357.6,-295.9,-290.2,-352.7,-371.3,-376.6,-354.1,-368.6,-394.0,-358.1
United Arab Emirates,-78.0,-90.8,-97.7,-94.1,-93.6,-92.2,-92.1,-95.4,-98.3,-86.1,-93.2,-88.5,-81.7,-95.2,-101.4,-104.9,-115.7,-114.5,-116.9,-100.2,-106.9,-122.3,-126.5,-134.5,-127.3,-124.5,-117.5,-113.5