Country,Year,Agriculture,Mining,Manufacturing,Construction,Wholesale,Transport,Other_Activities
Russia,1990,16.51438957,40.40648079,27.10642399,10.18540354,6.58641505,10.15442322,16.15288801
Russia,1991,13.89928998,39.3158842,27.14191572,10.04999666,13.35424144,7.554527252,15.82606054
Russia,1992,7.039666281,35.44903387,23.56395016,6.54684476,30.75903468,7.311436908,12.89398352
Russia,1993,7.992133909,35.77414012,23.78759316,8.325140627,20.40113175,8.615901441,18.89155216
Russia,1994,6.363225698,34.81379193,22.72642144,9.573647787,19.76641577,9.873496683,19.60942213
Russia,1995,7.127439501,30.42537455,20.09163618,9.055438015,21.19950619,12.01472769,20.17751405
Russia,1996,7.189632414,32.47225966,21.59123712,8.964828171,19.72882455,12.39554695,19.24890826
Russia,1997,6.454631069,32.36282501,21.52471279,8.362911328,18.71083443,12.20675013,21.90204804
Russia,1998,5.60966515,32.67425406,21.67955471,7.350495716,20.52584995,10.72851427,23.11122086
Russia,1999,7.153772959,32.9976311,22.46890854,6.129913891,23.21585076,9.33046893,21.17236235
Russia,2000,6.302918145,33.27250064,22.73118874,6.546516079,23.71601028,8.853094797,21.30896006
Russia,2001,6.441612538,30.40321324,20.20720071,7.362042304,22.3088576,8.86532796,24.61894636
Russia,2002,6.234451443,27.66832001,17.38429551,5.338623348,23.58482168,9.928862251,27.24492126
Russia,2003,6.197093524,26.68665351,16.52694065,6.024804203,22.72842646,10.40540651,27.95761579
Russia,2004,5.567942434,30.79875915,17.64589038,5.676796705,21.01360123,10.74180188,26.2010986
Russia,2005,4.918979537,32.89918084,18.51218512,5.321895549,20.20539678,9.952419057,26.70212824
Russia,2006,4.479837439,32.1609405,18.1214575,5.207267993,21.03243549,9.502622946,27.61689563
Russia,2007,4.36821818,30.86875392,17.8467761,5.709893012,20.9668697,9.381677366,28.70458783
Russia,2008,4.359860461,29.95019602,17.71860707,6.294546771,21.09136628,8.994235973,29.30979449
Russia,2009,4.635633204,27.53420862,14.95273007,6.177490006,18.72713745,9.322370591,33.60316012
Russia,2010,3.827961127,28.34615616,14.98554295,6.429975891,20.82232622,8.88085058,31.69273002
Russia,2011,3.918724658,26.25533958,13.39892176,7.608711854,18.32846838,7.587017433,36.3017381
Russia,2012,3.697395101,26.13376733,13.63252922,7.668765762,17.68988863,7.59904861,37.21113457
Russia,2013,3.618995227,25.29026458,12.96306644,7.00618931,17.06140771,8.049969523,38.97317364
Russia,2014,4.066499917,25.10960179,13.32869908,6.962415787,17.96336227,7.858016326,38.04010391
Russia,2015,4.594029675,26.06087102,14.07735899,7.078841618,17.23855872,7.684637579,37.34306138
Russia,2016,4.643750628,25.4263081,13.29117423,7.078200002,17.27106016,7.795258569,37.78542254
Russia,2017,4.448269251,25.85386438,13.2065134,7.440707502,17.28526741,7.68854575,37.28334571
Brazil,1970,11.54947502,30.4327076,27.42602609,5.392936685,16.4015272,4.311167674,31.89627744
Brazil,1971,12.16989169,30.7533163,27.6743337,5.47645126,15.65048071,4.186442741,31.7755872
Brazil,1972,12.24835053,31.21299273,28.44696329,5.777364236,15.2173913,4.24632042,31.28066317
Brazil,1973,11.92064405,33.73778033,31.19033928,5.853939045,15.49741231,3.910293272,29.07418056
Brazil,1974,11.4373113,34.39535992,31.68997299,6.098045447,15.24312728,3.976640712,28.853488
Brazil,1975,10.74736638,34.15544557,31.34072497,6.215610916,14.55193961,4.034064202,30.29557331
Brazil,1976,10.85842809,33.68915228,31.00444476,6.21552632,13.40925724,4.523303761,31.3043323
Brazil,1977,12.60709632,32.43043784,29.67216706,6.208415493,12.72125552,4.579052363,31.45489558
Brazil,1978,10.25961078,33.15827073,30.3659044,6.3360103,12.08717019,4.852295832,33.30664217
Brazil,1979,9.90720408,33.11326769,30.46870204,6.939151378,11.27293334,5.034591863,33.7323794
Brazil,1980,10.11264263,34.12219276,31.28940962,6.81224188,10.90212994,4.678295103,33.37202677
Brazil,1981,10.11236205,32.84844058,29.98893143,7.193901964,10.25757453,5.084546305,34.50317458
Brazil,1982,8.726310625,34.15894754,30.92740635,7.049058118,9.907695811,5.404552589,34.75354375
Brazil,1983,10.94583078,32.90289705,29.04494542,6.023136828,9.331387939,5.343205701,35.45354171
Brazil,1984,11.80555556,34.72222222,29.86111111,5.555555556,9.027777778,5.555555556,32.63888889
Brazil,1985,11.04651163,36.82170543,31.58914729,5.426356589,8.527131783,5.03875969,33.13953488
Brazil,1986,11.15475255,36.99921445,32.12882954,6.755695208,8.483896308,4.948939513,31.73605656
Brazil,1987,9.339146397,33.70812299,28.77466728,7.273978889,7.251032584,4.703992657,37.74667279
Brazil,1988,9.752383273,32.96074072,28.62059513,7.078244449,7.48637042,4.994974568,37.733378
Brazil,1989,7.742993661,29.05217238,25.60381796,7.583532186,6.754902017,4.799410752,44.06717884
Brazil,1990,10.13047255,29.8788421,25.52656353,7.064305314,7.073625022,4.911461082,40.9412855
Brazil,1991,10.55983653,29.38818845,24.3681484,6.485972434,6.948994942,4.708918599,41.90808904
Brazil,1992,6.29470671,25.03576534,21.31616599,6.151645212,7.439198828,4.291845472,50.78683831
Brazil,1993,5.776086037,25.45465531,22.18597064,6.307775964,7.081143133,4.120596943,51.25974262
Brazil,1994,8.6325593,27.03761333,23.47779507,8.019794404,8.293299549,4.344622152,43.67211126
Brazil,1995,5.531409799,20.66562196,17.1913089,5.293929959,10.55440811,3.670945225,54.28368495
Brazil,1996,5.21803705,18.84713482,15.31589162,5.418291577,10.05950747,3.715564787,56.7414643
Brazil,1997,5.10596819,18.67728908,15.19692987,5.700904368,10.12168549,4.001808825,56.39234405
Brazil,1998,5.220080808,18.03796378,14.30757284,5.856531897,10.10245038,4.171621866,56.61135127
Brazil,1999,5.19705864,18.96227821,14.74731723,5.38006617,10.05094292,4.124774245,56.28487982
Brazil,2000,5.458682798,21.44731802,16.16581469,5.41026899,11.3064308,6.162100958,50.21519843
Brazil,2001,5.805495511,20.7771484,16.0437636,5.202241321,11.13184131,6.197093701,50.88617976
Brazil,2002,6.409995039,20.91213653,15.72905428,5.147674553,10.75782563,6.041284827,50.73108342
Brazil,2003,7.193264648,22.36705452,16.90672667,4.595115418,10.91063011,6.035884338,48.89805096
Brazil,2004,6.673519865,23.69498952,17.7866677,4.937280957,11.48559682,7.99333854,45.21527431
Brazil,2005,5.478431818,23.88273829,17.35965118,4.589206514,12.35615083,8.047940276,45.64553227
Brazil,2006,5.138071458,23.33388295,16.58857215,4.347949141,13.04558949,7.788589054,46.3459179
Brazil,2007,5.18001581,22.55629762,16.59961572,4.56433063,13.67484597,8.116029216,45.90848075
Brazil,2008,5.408425586,22.96251708,16.52324255,4.3709518,14.02434288,8.343765563,44.88999709
Brazil,2009,5.235978905,20.16300863,15.27414629,5.425854331,14.70438667,8.126148867,46.3446226
Brazil,2010,4.842256967,21.11004469,14.96748253,6.265123348,14.72771918,8.120344915,44.93451091
Brazil,2011,5.107539093,20.89767908,13.861293,6.277286605,15.06791766,8.132406172,44.51717139
Brazil,2012,4.901863805,19.55042414,12.55467717,6.478266275,15.69443946,8.097045155,45.27796116
Brazil,2013,5.276738344,18.46792541,12.26970679,6.382440006,15.85841151,7.925977654,46.08850708
Brazil,2014,5.026912761,17.61904015,12.01302945,6.172580315,16.11777344,7.970806401,47.09288693
Brazil,2015,5.023022534,16.77309784,12.23548913,5.741677837,15.67900619,7.807140234,48.97605536
Brazil,2016,5.506693776,16.52996818,12.18075149,4.90404322,16.31092517,8.113326318,48.63504334
Brazil,2017,5.18620907,16.97321646,12.14314141,5.604697101,16.03652417,7.964087246,48.23526595
