Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
World,20277.7,20428.88,20389.24,20483.38,20569.16,21057.1,21556.95,21792.24,21921.24,22084.08,22758.47,23070.81,23523.96,24586.16,25714.67,26623.4,27448.12,28461.3,28580.22,28253.7,29824.65,30672.31,31062.29,31593.72,31775.87,31740.5,31986.76,32667.39
OECD,11174.87,11205.76,11267.76,11357.11,11540.2,11688.9,12090.85,12242.76,12250.75,12354.18,12680.81,12665.4,12712.32,12936.41,13048.32,13093.79,13014.05,13218.48,12848.22,12080.12,12594.55,12429.28,12317.26,12313.68,12125.64,12006.28,12032.69,12194.92
G7,8575.88,8549.52,8599.21,8665.63,8776.88,8872.86,9131.32,9235.16,9275.72,9345.43,9571.1,9526.03,9530.21,9655.69,9711.78,9722.96,9576.1,9702.54,9370.59,8720.45,9092.64,8917.68,8823.71,8897.2,8785.76,8588.68,8548.13,8605.36
BRICS,5411.2,5573.58,5544.03,5584.72,5532,5784.36,5836.73,5819.56,5924.93,5940.82,6182.17,6377.39,6659.08,7316.89,8138.72,8786.67,9508.64,10136.05,10419.12,10908.42,11701.95,12583.75,12913.56,13365.76,13598.53,13651.28,13732.63,14105.3
Europe,4417.64,4392.06,4270.49,4181.88,4135.39,4191.75,4349.96,4274.1,4281.23,4203.28,4258.86,4320.13,4313.1,4419.55,4430.06,4416.59,4457.79,4429.06,4345.78,4033.7,4174.56,4050.41,4025.4,3927.59,3759.79,3817.02,3836.71,3949.88
European Union,4115.02,4099.76,3981.31,3896.36,3863.83,3900.39,4034.06,3940.54,3939.45,3874.6,3902.28,3977.13,3960.23,4047.33,4046.15,4029.5,4041.27,3990.52,3903.86,3602.87,3727.1,3580.78,3547.96,3464.55,3285.31,3323.37,3306.98,3368.79
Belgium,105.89,110.43,109.48,108.16,113.65,114.03,119.73,116.12,118.66,114.64,116.31,116.22,111.06,115.1,114.72,111.9,110.86,107.53,108.77,99.58,109.11,98.88,97.97,98.94,92.4,97.52,94.98,93.92
Czech Rep.,151.25,139.65,134.2,132.72,125.87,124.86,127.22,128.94,123,112.72,124.96,124.64,121.12,124.35,125.34,123,122.9,124.79,117.92,110.11,113.53,110.01,106.39,102.78,99.63,101.71,104.01,104.83
France,357.02,383.18,372.34,354.24,346.94,357.71,371.79,363.74,389.59,381.84,383.51,393.97,383.46,387.93,387.24,384.86,373.62,366.75,364.09,344.54,355.09,330.3,333.39,336.67,304.4,312.29,318.27,325.33
Germany,955.79,938.81,899.6,889.54,874.38,872.3,902.06,871.38,863.66,832.25,832.71,851.87,839.72,833.85,818.36,802.13,813.29,783.54,792.34,736.42,779.5,750.3,766.46,787.32,748.56,753.54,763.59,781.58
Italy,398.35,399.08,398.44,393.11,388.52,411.15,408.86,412.67,422.99,428.01,431.12,429.59,438.1,453.2,460.19,462.39,459.11,451.24,440.22,393.52,402.14,393.63,375.01,343.73,327.53,335.41,328.16,326.05
Netherlands,164.4,171.41,169.57,174.74,175.89,181.05,189.93,184.3,184.65,179.62,180.64,185.87,188.02,190.87,193.71,190.31,185.6,186.05,185.33,179.07,190.9,178.66,176.01,175.57,168.37,174,173.82,181.91
Poland,371.83,366.22,358.95,352.79,343.75,341.6,365.02,346.92,318.09,309.98,298.45,297.05,290.37,301.21,302.94,308.71,319.71,318.38,315.9,303.39,322.53,317.44,310.5,307.93,293.87,297.4,301.88,313.77
Portugal,39.65,41.09,45.04,43.7,44.32,48.5,46.54,48.77,53.53,60.31,59.8,59.35,63.25,58.77,60.07,63.05,57.76,56.26,54.33,53.82,48.48,47.96,46.53,45.06,44.18,48.34,46.23,51.78
Romania,163.6,136.37,126.54,118.5,113.54,117.03,121.41,112.45,97.96,83.39,87.35,92.41,95.33,96.3,94.55,91.82,95.41,93.23,91.67,78.32,74.86,81.35,79.14,69.38,68.95,69.58,69.79,74.8
Spain,208.18,216.61,226.82,212.67,220.62,233.25,222.98,241.69,250.57,271.85,287.49,288.28,305.94,311.86,326.81,340.57,332.29,345.45,315.55,280,266.57,270.1,265.49,238.09,235.9,251.49,245.66,260.95
Sweden,52.57,52.75,53.27,52.54,55.36,55.13,60.53,55.11,55.95,54.49,51.06,51.97,53.39,54.71,53.09,50.62,50.64,48.11,46.19,43.25,48.51,44.04,40.67,39.06,38.9,38.45,39.02,38.27
United Kingdom,553.03,563.25,557.01,540.5,533.01,523.07,544.63,522.35,526.85,524.81,533.31,543.22,528.51,542.95,542.81,541.06,541.86,530.73,515.59,466.47,484.5,446.54,469.65,455.12,415.79,398.22,370.35,358.13
Norway,27.88,26.38,29.26,31.18,32.7,32.13,33,34.75,36.4,37.72,33.02,34.35,34.01,36.82,37.19,36.16,37.24,37.77,37.25,37.32,39.25,37.97,37.07,36.67,37.1,38.46,39.75,35.7
Turkey,132.48,134.94,139.34,143.22,143.14,156.97,171.73,180.98,184.03,183.13,205.7,185.68,193.02,203.76,210.27,217.84,242.37,266.77,267.29,260.81,272.04,291.76,307.89,292.16,314.75,325.58,352.99,402.55
CIS,3525.53,3483.06,3177.35,2860.91,2503.38,2413.95,2300.42,2169.23,2146.8,2171.76,2192.57,2182.51,2184.8,2269.03,2263.08,2295.08,2376.75,2371.3,2430.02,2231.59,2374.7,2492.71,2482.63,2418.6,2357.68,2305.27,2321.28,2391.31
Kazakhstan,236.37,243.17,249.24,212.54,192.4,167.69,146.33,123.34,125.85,113.09,121.9,113.28,125.88,145.19,150.3,161.34,182.01,193.37,228.23,202.51,221.06,234.59,234.3,250.64,235.29,227.98,222.69,233.47
Russia,2192.47,2198.77,2045.77,1860.74,1634.5,1594.19,1574.75,1482.32,1463.76,1504.81,1524.26,1530.72,1513.93,1554.6,1552.47,1550.24,1611.12,1590.97,1611.28,1511.99,1609.79,1682.86,1665.54,1610.37,1598.31,1607.65,1622.08,1696.89
Ukraine,659.32,629.63,540.18,481.99,399.72,398.75,336.77,319.8,301.8,298,290.76,284.07,284.01,304.38,292.14,316.63,310.66,308.82,305.14,257.07,276.93,290.46,285.03,273.85,232.11,181.08,190.83,168.09
Uzbekistan,116.39,120.26,112.14,112.8,110.16,99.72,101,103.09,116.35,117.97,117.04,118.37,123.11,117.73,114.46,108.49,110.57,110.68,112.27,101.86,99.56,108.55,110.47,98.65,100.27,97.84,95.09,95.51
America,6137.6,6106.28,6216.85,6361.89,6502.89,6590.97,6836.1,7065.13,7148.9,7210.76,7457.68,7392.6,7386.42,7501.32,7636.21,7709.35,7624.45,7804.63,7636.9,7186.63,7526.49,7438.45,7345.38,7441.4,7528.62,7346.61,7308.89,7325.79
North America,5281.62,5226.77,5318.54,5442.17,5531,5593,5777.15,5942.34,5978.09,6048.1,6251.64,6180.47,6171.86,6265.06,6338.9,6366.75,6247.44,6384.08,6150.21,5726.6,5973.45,5843.53,5686.63,5765.2,5830.03,5667.54,5660.97,5696.57
Canada,429.6,422.68,435.08,435.35,451.57,460.89,476.08,492.57,497.43,508.68,529.4,523.37,529.07,551.29,544.16,556.9,550.56,581.98,560.53,531.84,547.16,558.13,561.45,573.8,572.4,568.64,589.55,623.7
United States,4852.03,4804.1,4883.45,5006.82,5079.43,5132.11,5301.06,5449.77,5480.66,5539.42,5722.24,5657.11,5642.79,5713.77,5794.74,5809.85,5696.88,5802.1,5589.68,5194.76,5426.29,5285.4,5125.18,5191.4,5257.63,5098.9,5071.41,5072.86
Latin America,855.97,879.51,898.31,919.72,971.89,997.97,1058.95,1122.79,1170.81,1162.66,1206.04,1212.12,1214.56,1236.27,1297.31,1342.6,1377.01,1420.55,1486.69,1460.03,1553.04,1594.93,1658.75,1676.21,1698.59,1679.08,1647.92,1629.22
Argentina,101.13,105.64,108.95,108.25,116.1,120.23,126.87,132.21,136.06,139.7,139.52,129.71,122.97,132.66,147.73,150.21,160.14,166.69,178.19,171.14,174.59,181.83,188.03,183.47,189.83,195.82,199.01,195.38
Brazil,191.84,197.35,202.32,209.79,217.54,234.06,252.44,269.42,277.85,287.29,298.13,304.81,302.54,297.54,313.74,317.31,321.31,336.3,354.15,332.01,375.85,395.84,428.39,459.55,484.82,460.42,426.77,436.82
Chile,30.96,29.47,30.61,32.4,35.63,38.8,44.74,51.95,53.04,56.68,52.74,50.52,51.41,52.75,57.44,58.28,60.08,65.69,68.33,65.76,70.26,76.29,78.71,82.9,76.99,81.95,87.97,85.21
Colombia,46.08,47.74,49.57,52.56,52.62,55.14,55.08,59.45,60.49,52.87,55.19,55.46,53.34,52.65,52.85,54.35,54.19,55.09,55.98,59.37,60.8,65.97,65.79,71.21,73.13,72.78,76.29,72.78
Mexico,262.61,281.93,284.76,290.33,314.91,297.12,309.9,326.73,349,341.16,363.79,364.3,370.41,387.35,396.34,413.19,426.41,434.42,436.71,428.27,443.48,460.82,462.07,452.33,436.58,445.48,453.26,436.49
Venezuela,93.57,93.07,95.04,100.6,100.93,106.85,114.88,119.5,120.22,108.99,116.91,124.08,123.39,123.02,128.05,137.87,133.8,130.04,159.68,160.76,171.76,151.59,169.06,156.27,155.11,137.12,125.78,123.62
Asia,4772.15,5000.28,5190.33,5479.57,5756.38,6133.26,6268.6,6390.27,6420.86,6536.25,6825.44,7033.77,7409.11,8098.92,8961.65,9664.69,10355.31,11106.73,11263.05,11835.55,12678.61,13572.71,13958.01,14486.14,14714.25,14816.05,15011.12,15340.52
China,2249.24,2364.12,2454.35,2632.91,2752.92,2951.93,2959.85,2969.77,3062.58,2978.94,3145.6,3280.28,3539.75,4115.9,4844.46,5451.57,6038.55,6552.13,6682.88,7149.85,7711.61,8432.95,8612.91,9026.22,9069.56,9095.1,9085.94,9297.23
India,523.7,563.34,594.8,626.23,666.91,726.91,761.94,795.44,810.6,876.19,913.92,927.26,957.5,981.56,1038.19,1087.28,1158.06,1255.39,1335.63,1504.46,1588.76,1669.95,1786.24,1839.89,2002.94,2052.26,2151.4,2234.27
Indonesia,147.51,160.28,168.23,182.98,194,216.39,234.04,253.77,256.25,277.49,272.59,290.66,296.9,325.33,331.9,336.47,354.93,370.34,364.91,381.75,395.12,395.62,409.79,409.7,446.21,453.51,464.31,484.69
Japan,1030.06,1038.43,1053.29,1046.06,1103.02,1115.62,1126.82,1122.68,1094.55,1130.41,1138.81,1126.9,1168.56,1172.69,1164.28,1165.77,1140.78,1186.21,1108.15,1052.9,1097.97,1153.38,1192.57,1209.15,1159.45,1121.68,1106.79,1117.71
Malaysia,50.23,60.7,63.79,70.16,75.32,82.45,92.91,100.14,100.25,108.58,117.96,123.56,129.81,135.86,149.4,160.01,166.99,185.56,196.05,177.73,194.79,199.84,203.25,222.07,228.9,228.53,243.63,248.52
South Korea,244.08,268.34,290.42,317.43,342.7,371.47,394.32,416.73,359.36,393.37,434.88,451.98,455.35,469.24,479.42,478.81,488.78,517.85,530.51,535.74,594.31,626.32,629.88,629.57,622.44,636.05,638.03,667.7
Taiwan,114.55,123.74,131.96,141.55,150.04,159.04,167.66,180.83,191.34,199.48,218.29,227.28,236.16,247.82,256.21,263,270.57,275.92,263.24,248.57,270.11,265.14,256.79,258.32,261.77,261.99,276.96,283.26
Thailand,80.92,90.07,98.37,111.15,125.05,141.06,159.26,163.24,148.52,154.68,155.41,163.67,175.28,184.62,201.52,207.75,209.77,217.57,223.49,218.17,235.41,235.02,252.06,263.89,259.59,263.31,269.31,270.43
Pacific,295.25,296.43,302.37,306.67,309.67,318.58,336.95,348.65,363.66,372.76,379.17,382.42,395.07,394.41,407.41,417.38,423.83,433.11,436.88,438.62,439.25,435.88,435.38,431.68,422.86,426.17,446.92,449.93
Australia,270.44,271.19,275.58,280.18,281.7,290.15,306.98,315.81,331.3,338.66,344.49,345.22,357.38,355.48,369.36,378.46,384.76,395.09,397.59,402.4,402.97,400.44,397.89,393.47,383.93,387.64,407.16,408.22
New Zealand,21.62,22.17,23.72,23.44,23.98,24.52,25.93,28.28,27.4,29.01,30.16,32.01,32.07,32.61,32.37,33.02,33.13,31.99,33.06,30.33,30.09,29.43,31.11,31.08,32.09,32.07,32.12,33.77
Africa,540.3,546.73,555.68,566.1,565.36,595.15,618.88,651.12,667.15,669.92,683.39,743.18,774.99,809.12,854.89,877.12,892.12,931.87,993.52,982.3,1020.81,1022.04,1082.37,1106.53,1141.86,1164.63,1183.66,1258.66
Algeria,52.98,57.15,57.26,59.2,56.35,56.83,56.17,58.08,59.5,63.26,64.24,65.75,71.71,74.91,76,80.36,83.47,87.46,90.83,96.78,97.5,104.74,115.19,118.19,127.35,135.39,133.31,132.29
Egypt,78.5,77.18,80.06,81.83,77.46,82.14,87.35,93.38,98.48,103.61,101.56,111.56,117.02,120.46,131.63,148.93,157.43,169.5,177.5,181.87,183.72,190.07,196.44,196.22,199.32,204.81,212.79,217.88
Nigeria,28.32,33.59,40.14,36.64,30.85,33.2,36.93,41.58,37.8,39.55,44,49.85,51.57,55.61,56.19,58.21,52.57,49,53.87,45.54,56.8,62.21,65.04,63.68,62.22,66.66,61.05,63.87
South Africa,253.94,250,246.78,255.05,260.13,277.27,287.74,302.6,310.15,293.59,300.26,334.33,345.37,367.3,389.87,380.26,379.6,401.25,435.18,410.1,415.95,402.14,420.48,429.72,442.9,435.85,446.44,440.09
Middle-East,589.22,604.04,676.17,726.36,796.09,813.43,846.04,893.73,892.65,919.35,961.37,1016.2,1060.47,1093.79,1161.37,1243.19,1317.9,1384.6,1474.08,1545.31,1610.22,1660.1,1733.1,1781.78,1850.81,1864.74,1878.18,1951.32
Iran,181.22,200.79,218.15,219.61,248.77,254.71,262.13,276.52,280.06,305.89,320.03,335.42,350.67,365.5,394.85,426.98,460.27,492.59,501.87,520.52,515.78,531.25,535.57,560.12,586.93,575.98,575.51,605.83
Kuwait,28.07,7.82,22.5,28.8,33.37,33.33,32.42,33.55,39.71,43.77,47.08,51.05,53.1,54.85,57.82,66.21,68,68.27,72.83,79.94,78.85,80.11,79.78,85.16,80.63,87,90.57,89.46
Saudi Arabia,155.69,162.06,176.78,187.36,199.49,198.64,211.52,214,228.9,234.93,244.16,248.16,265.66,276.56,293.96,310.52,329.34,346.44,378.29,395.03,435.09,451.16,481.7,488.57,524.27,550.72,573.34,588.92
United Arab Emirates,52.15,59.46,56.91,59.99,65.89,70,73.09,77.05,78.88,81.09,80.31,93.02,95.04,99.3,105.54,112,115.93,125.11,147.45,149.69,155.61,159.78,170.26,178.5,178.47,182.23,185.1,182.94
